,run_id,Time,State,Fraction
0,0,0.0,S,0.9125
1,0,0.0,E,0.0875
2,0,0.0,I1,0.0
3,0,0.0,I2,0.0
4,0,0.0,I3,0.0
5,0,0.0,R,0.0
6,0,0.0,D,0.0
7,0,0.0,I_total,0.0
8,0,3.4482758620689653,S,0.88
9,0,3.4482758620689653,E,0.07
10,0,3.4482758620689653,I1,0.045
11,0,3.4482758620689653,I2,0.005
12,0,3.4482758620689653,I3,0.0
13,0,3.4482758620689653,R,0.0
14,0,3.4482758620689653,D,0.0
15,0,3.4482758620689653,I_total,0.05
16,0,6.896551724137931,S,0.83
17,0,6.896551724137931,E,0.0675
18,0,6.896551724137931,I1,0.06
19,0,6.896551724137931,I2,0.0075
20,0,6.896551724137931,I3,0.0025
21,0,6.896551724137931,R,0.0325
22,0,6.896551724137931,D,0.0
23,0,6.896551724137931,I_total,0.07
24,0,10.344827586206897,S,0.7825
25,0,10.344827586206897,E,0.0725
26,0,10.344827586206897,I1,0.0625
27,0,10.344827586206897,I2,0.0125
28,0,10.344827586206897,I3,0.0025
29,0,10.344827586206897,R,0.0675
30,0,10.344827586206897,D,0.0
31,0,10.344827586206897,I_total,0.0775
32,0,13.793103448275861,S,0.74
33,0,13.793103448275861,E,0.0775
34,0,13.793103448275861,I1,0.0725
35,0,13.793103448275861,I2,0.015
36,0,13.793103448275861,I3,0.0025
37,0,13.793103448275861,R,0.0925
38,0,13.793103448275861,D,0.0
39,0,13.793103448275861,I_total,0.09
40,0,17.241379310344826,S,0.695
41,0,17.241379310344826,E,0.0775
42,0,17.241379310344826,I1,0.0825
43,0,17.241379310344826,I2,0.0075
44,0,17.241379310344826,I3,0.0025
45,0,17.241379310344826,R,0.135
46,0,17.241379310344826,D,0.0
47,0,17.241379310344826,I_total,0.0925
48,0,20.689655172413794,S,0.645
49,0,20.689655172413794,E,0.0725
50,0,20.689655172413794,I1,0.0925
51,0,20.689655172413794,I2,0.015
52,0,20.689655172413794,I3,0.0
53,0,20.689655172413794,R,0.1725
54,0,20.689655172413794,D,0.0025
55,0,20.689655172413794,I_total,0.1075
56,0,24.137931034482758,S,0.6025
57,0,24.137931034482758,E,0.0625
58,0,24.137931034482758,I1,0.11
59,0,24.137931034482758,I2,0.025
60,0,24.137931034482758,I3,0.0025
61,0,24.137931034482758,R,0.195
62,0,24.137931034482758,D,0.0025
63,0,24.137931034482758,I_total,0.1375
64,0,27.586206896551722,S,0.55
65,0,27.586206896551722,E,0.0575
66,0,27.586206896551722,I1,0.1075
67,0,27.586206896551722,I2,0.0325
68,0,27.586206896551722,I3,0.0075
69,0,27.586206896551722,R,0.2425
70,0,27.586206896551722,D,0.0025
71,0,27.586206896551722,I_total,0.1475
72,0,31.034482758620687,S,0.5125
73,0,31.034482758620687,E,0.0625
74,0,31.034482758620687,I1,0.0775
75,0,31.034482758620687,I2,0.035
76,0,31.034482758620687,I3,0.0075
77,0,31.034482758620687,R,0.3025
